Theta,Ranges
-3,inf
-2.98255,inf
-2.96509,inf
-2.94764,0
-2.93019,inf
-2.91273,inf
-2.89528,inf
-2.87783,inf
-2.86037,inf
-2.84292,inf
-2.82547,inf
-2.80801,inf
-2.79056,inf
-2.77311,inf
-2.75565,inf
-2.7382,inf
-2.72075,1.3705
-2.70329,inf
-2.68584,inf
-2.66839,1.3025
-2.65093,inf
-2.63348,1.283
-2.61603,1.26325
-2.59857,1.23925
-2.58112,inf
-2.56367,1.22025
-2.54621,1.2125
-2.52876,inf
-2.51131,1.20875
-2.49385,1.20775
-2.4764,1.2095
-2.45895,inf
-2.44149,1.21275
-2.42404,1.21925
-2.40659,inf
-2.38913,1.228
-2.37168,1.23625
-2.35423,inf
-2.33677,1.248
-2.31932,1.2665
-2.30187,1.28925
-2.28442,inf
-2.26696,1.30675
-2.24951,inf
-2.23206,inf
-2.2146,1.3925
-2.19715,inf
-2.1797,inf
-2.16224,inf
-2.14479,inf
-2.12734,inf
-2.10988,inf
-2.09243,inf
-2.07498,inf
-2.05752,inf
-2.04007,inf
-2.02262,inf
-2.00516,inf
-1.98771,inf
-1.97026,0.74675
-1.9528,inf
-1.93535,0.7365
-1.9179,0.73025
-1.90044,inf
-1.88299,0.727
-1.86554,0.72675
-1.84808,inf
-1.83063,0.73025
-1.81318,0.73725
-1.79572,0.74925
-1.77827,inf
-1.76082,inf
-1.74336,inf
-1.72591,inf
-1.70846,inf
-1.691,inf
-1.67355,inf
-1.6561,inf
-1.63864,inf
-1.62119,inf
-1.60374,inf
-1.58628,0.83575
-1.56883,0.83175
-1.55138,inf
-1.53392,0.8355
-1.51647,inf
-1.49902,inf
-1.48156,inf
-1.46411,inf
-1.44666,inf
-1.4292,inf
-1.41175,inf
-1.3943,inf
-1.37684,4.23175
-1.35939,inf
-1.34194,4.2315
-1.32448,4.2265
-1.30703,inf
-1.28958,4.23075
-1.27212,inf
-1.25467,inf
-1.23722,4.24975
-1.21976,4.26675
-1.20231,4.28125
-1.18486,inf
-1.1674,4.294
-1.14995,4.31425
-1.1325,inf
-1.11504,4.3335
-1.09759,4.35275
-1.08014,4.37875
-1.06268,inf
-1.04523,4.4105
-1.02778,4.44125
-1.01032,inf
-0.992871,4.48225
-0.975418,4.5285
-0.957965,inf
-0.940511,4.557
-0.923058,inf
-0.905605,4.75625
-0.888152,inf
-0.870698,4.8035
-0.853245,4.8565
-0.835792,inf
-0.818338,inf
-0.800885,inf
-0.783432,inf
-0.765979,inf
-0.748525,inf
-0.731072,inf
-0.713619,inf
-0.696165,5.22375
-0.678712,inf
-0.661259,inf
-0.643806,inf
-0.626352,inf
-0.608899,1.99875
-0.591446,inf
-0.573992,inf
-0.556539,2.8435
-0.539086,inf
-0.521632,inf
-0.504179,2.61825
-0.486726,2.609
-0.469273,inf
-0.451819,2.6385
-0.434366,inf
-0.416913,inf
-0.399459,inf
-0.382006,inf
-0.364553,inf
-0.3471,inf
-0.329646,2.017
-0.312193,inf
-0.29474,inf
-0.277286,inf
-0.259833,6.31825
-0.24238,inf
-0.224926,inf
-0.207473,inf
-0.19002,inf
-0.172567,inf
-0.155113,inf
-0.13766,inf
-0.120207,inf
-0.102753,inf
-0.0853002,inf
-0.0678468,inf
-0.0503936,inf
-0.0329404,inf
-0.015487,inf
0.00196624,7.8315
0.0194197,7.719
0.0368729,7.6795
0.0543261,inf
0.0717795,7.655
0.0892327,7.619
0.106686,inf
0.124139,inf
0.141593,5.5445
0.159046,inf
0.176499,1.68525
0.193953,inf
0.211406,inf
0.228859,inf
0.246312,5.39875
0.263766,inf
0.281219,1.909
0.298672,1.90275
0.316126,inf
0.333579,1.90425
0.351032,1.9055
0.368485,inf
0.385939,1.9065
0.403392,1.91125
0.420845,1.92125
0.438299,inf
0.455752,1.93275
0.473205,inf
0.490659,inf
0.508112,inf
0.525565,inf
0.543018,inf
0.560472,inf
0.577925,inf
0.595378,inf
0.612832,5.911
0.630285,5.95625
0.647738,inf
0.665191,inf
0.682645,inf
0.700098,inf
0.717551,inf
0.735005,inf
0.752458,inf
0.769911,inf
0.787364,inf
0.804818,inf
0.822271,inf
0.839724,inf
0.857178,inf
0.874631,inf
0.892084,inf
0.909538,inf
0.926991,inf
0.944444,inf
0.961897,inf
0.979351,0.907
0.996804,0.89175
1.01426,inf
1.03171,0.886
1.04916,0.89075
1.06662,inf
1.08407,inf
1.10152,inf
1.11898,1.669
1.13643,1.6325
1.15388,inf
1.17134,1.60075
1.18879,1.57725
1.20624,inf
1.2237,inf
1.24115,1.65275
1.2586,inf
1.27606,inf
1.29351,inf
1.31096,inf
1.32842,inf
1.34587,inf
1.36332,1.17
1.38078,1.174
1.39823,1.1935
1.41568,inf
1.43314,inf
1.45059,inf
1.46804,1.87475
1.4855,1.86625
1.50295,inf
1.5204,1.86025
1.53786,1.8565
1.55531,1.85225
1.57276,inf
1.59022,1.84925
1.60767,inf
1.62512,inf
1.64258,inf
1.66003,inf
1.67748,inf
1.69494,inf
1.71239,inf
1.72984,inf
1.7473,inf
1.76475,inf
1.7822,inf
1.79966,4.9075
1.81711,inf
1.83456,inf
1.85202,inf
1.86947,inf
1.88692,inf
1.90438,inf
1.92183,inf
1.93928,inf
1.95674,inf
1.97419,inf
1.99164,inf
2.00909,5.6435
2.02655,inf
2.044,5.617
2.06145,inf
2.07891,inf
2.09636,inf
2.11381,3.19025
2.13127,inf
2.14872,inf
2.16617,inf
2.18363,5.701
2.20108,inf
2.21853,inf
2.23599,inf
2.25344,inf
2.27089,inf
2.28835,inf
2.3058,inf
2.32325,inf
2.34071,inf
2.35816,2.53225
2.37561,inf
2.39307,inf
2.41052,2.156
2.42797,2.11475
2.44543,inf
2.46288,inf
2.48033,inf
2.49779,inf
2.51524,inf
2.53269,inf
2.55015,1.96075
2.5676,1.91875
2.58505,inf
2.60251,1.9165
2.61996,inf
2.63741,inf
2.65487,2.0205
2.67232,2.07475
2.68977,inf
2.70723,inf
2.72468,inf
2.74213,inf
2.75959,2.66325
2.77704,2.624
2.79449,2.57775
2.81195,inf
2.8294,2.5305
2.84685,2.491
2.86431,inf
2.88176,2.46125
2.89921,2.42975
2.91667,2.3995
2.93412,inf
2.95157,2.36725
2.96903,2.33225
2.98648,inf
3.00393,2.2915
3.02139,inf
3.03884,inf
3.05629,inf
3.07375,2.2585
3.0912,0
3.10865,inf
3.12611,0
3.14356,0
3.16101,inf
3.17847,inf
3.19592,inf
3.21337,inf
3.23083,0
3.24828,inf
3.26573,0
